Departure Date,Exporter Licence Holder(s),Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Nov-18,North Australian Cattle Company,Townsville,Phu My,11,Dec-18,,,,2507,3,0.0012,,,
Nov-18,Frontier International Northern Pty Ltd,Townsville,Hai Phong,11,Dec-18,,,,2351,1,0.0004,,,
Nov-18,International Livestock Export Pty Ltd/Livestock Shipping Services Pty Ltd/Purcell Bros Pty Ltd,Townsville,Panjang/Jakarta ,14,Dec-18,,,,17318,14,0.00081,,,
Nov-18,International Livestock Export Pty Ltd,Fremantle,Pasir Gudang,10,Dec-18,,,,900,2,0.0022,4970,4,0.0008
Nov-18,South East Asian Livestock Services Pty Ltd,Darwin,Hon La,11,Dec-18,171,1,0.00584,1129,4,0.0035,,,
Nov-18,Wellard Rural Exports Pty Ltd,Fremantle,Thi Vai/Long An,13,Dec-18,,,,4251,5,0.0012,,,
Dec-18,Frontier International Northern Pty Ltd,Darwin,Surabaya,6,Dec-18,,,,3210,2,0.0006,,,
Dec-18,South East Asian Livestock Services Pty Ltd,Darwin,Jakarta,7,Dec-18,,,,1937,2,0.001,,,
Dec-18,Australian Rural Exports Pty Ltd,Darwin,Panjang,5,Dec-18,174,2,0.0115,3253,0,0,,,
Dec-18,Hallen Australian Livestock Traders Pty Ltd/Australian Rural Exports Pty Ltd,Geraldton,Jakarta/Belawan/Port Kelang,13,Dec-18,,,,5175,1,0.00019,,,
Dec-18,South East Asian Livestock Services Pty Ltd,Darwin,Bangkok/Bintulu,15,Dec-18,,,,1916,1,0.00052,,,
Dec-18,Rural Export and Trading (WA) Pty Ltd,Fremantle,Kuwait/Hamad/Jebel Ali,22,Dec-18,,,,312,0,0,65602,130,0.00198
Dec-18,Australian Rural Exports Pty Ltd,Portland,Huanghua,19,Dec-18,,,,6376,6,0.00094,,,
Dec-18,Frontier International Northern Pty Ltd,Darwin,Hai Phong,9,Dec-18,,,,2527,2,0.0008,,,
Dec-18,Livestock Shipping Services Pty Ltd,Townsville,Hai Phong,13,Dec-18,,,,4265,30,0.00703,,,
Dec-18,Frontier International Northern Pty Ltd,Darwin,Hai Phong,9,Dec-18,106,1,0.0094,2145,1,0.00047,,,
Dec-18,Frontier International Northern Pty Ltd,Darwin,Jakarta,8,Dec-18,,,,2974,0,0,,,
Dec-18,South East Asian Livestock Services Pty Ltd,Darwin,Belawan,12,Dec-18,230,3,0.013,1596,3,0.0019,,,
Dec-18,North Australian Cattle Company Pty Ltd,Townsville,Phu My,11,Dec-18,,,,1799,9,0.005,,,
Dec-18,International Livestock Export Pty Ltd/Livestock Shipping Services Pty Ltd/Purcell Bros Pty Ltd,Darwin,Cilacap/Panjang/jakarta,11,Dec-18,,,,15314,8,0.0005,,,
