Departure Date,,Exporter Licence Holder(s)b,Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Cattle Load,Cattle Loss,Cattle Pct,Buffalo Load,Buffalo Loss,Buffalo Pct,Sheep Load,Sheep Loss,Sheep Pct
Nov-17,,Frontier International Northern  Pty Ltd,Darwin,Panjang,6,Dec-17,3718,1,0.0002,,,,,,
Nov-17,,Australian Rural Exports Pty Ltd,Geraldton,Hon La,17,Dec-17,2428,2,0.000823723,,,,,,
Nov-17,,Australian Rural Exports Pty Ltd/Halleen Australasian Livestock Traders Pty Ltd/International Livestock Export Pty Ltd,Darwin,Belewan/Port Klang,7,Dec-17,3546,2,0.000564016,,,,,,
Nov-17,,Australian Rural Exports Pty Ltd/North Australian Cattle Company Pty Ltd,Darwin,Jakarta/Pasir Gudang,11,Dec-17,2823,2,0.000708466,435,1,0.002298851,,,
Dec-17,*,Wellard Rural Exports Pty Ltd,Darwin,Cua Lo/Long An,13,Dec-17,3373,4,0.001185888,842,19,0.022565321,,,
Dec-17,,Frontier International Northern  Pty Ltd,Fremantle,Lianyugang,14,Dec-17,1726,2,0.0011,,,,,,
Dec-17,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,6,Dec-17,3880,2,0.000515464,,,,,,
Dec-17,,South East Asian Livestock Services Pty Ltd,Fremantle,Hoang Dieu CanTho,9,Dec-17,1631,0,0,,,,,,
Dec-17,,Livestock Shipping Services Pty Ltd,Fremantle,Eilat,19,Dec-17,1193,0,0,,,,19998,164,0.00820082
Dec-17,,Australian Rural Exports Pty Ltd,Darwin,Panjang,9,Dec-17,2694,1,0.0004,,,,,,
Dec-17,,Frontier International Northern  Pty Ltd,Darwin,Jakarta,5,Dec-17,3391,0,0,,,,,,
Dec-17,,Livestock Shipping Services Pty Ltd,Darwin,Cilacap,5,Dec-17,1878,0,0,,,,,,
Dec-17,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,7,Dec-17,4110,0,0,,,,,,
Dec-17,,Livestock Shipping Services Pty Ltd,Fremantle,Thi Vai,12,Dec-17,2582,4,0.001549187,,,,,,
Dec-17,,South East Asian Livestock Services Pty Ltd,Darwin,Jakarta,6,Dec-17,1900,0,0,,,,,,
Dec-17,,Australian Rural Exports Pty Ltd,Geraldton,Panjang,6,Dec-17,3671,0,0,,,,,,
Dec-17,,Frontier International Northern  Pty Ltd,Darwin,Haiphong,9,Dec-17,2531,0,0,92,1,0.010869565,,,
