,Departure Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct,Duration (days)
350,Dec-14,,,,10685.0,13.0,0.0012,,,,20
351,Dec-14,,,,4241.0,4.0,0.0009,,,,13
352,Dec-14,,,,2001.0,0.0,0.0,,,,6
353,Dec-14,25.0,0.0,0.0,1299.0,2.0,0.0015,,,,12
354,Dec-14,,,,11914.0,10.0,0.0008,59827.0,254.0,0.0042,21
355,Dec-14,,,,3178.0,6.0,0.0019,,,,12
356,Dec-14,,,,150.0,0.0,0.0,76179.0,331.0,0.0043,20
357,Jan-15,,,,1079.0,6.0,0.0056,,,,19
358,Jan-15,,,,2077.0,0.0,0.0,,,,9
359,Jan-15,,,,1240.0,3.0,0.0024,,,,8
360,Jan-15,,,,15141.0,120.0,0.0079,,,,28
361,Jan-15,,,,4185.0,9.0,0.0022,,,,22
362,Jan-15,,,,2638.0,3.0,0.0011,,,,9
363,Jan-15,,,,2126.0,1.0,0.0005,,,,19
364,Jan-15,,,,2509.0,8.0,0.0032,,,,12
365,Jan-15,,,,1352.0,1.0,0.0007,,,,14
366,Jan-15,,,,3794.0,1.0,0.0003,,,,12
367,Jan-15,,,,1260.0,2.0,0.0016,,,,15
368,Jan-15,,,,4310.0,3.0,0.0007,,,,13
369,Jan-15,,,,6100.0,6.0,0.001,,,,18
370,Jan-15,,,,2446.0,6.0,0.0025,,,,22
371,Jan-15,,,,1599.0,7.0,0.0044,,,,15
372,Jan-15,,,,2871.0,2.0,0.0007,,,,8
373,Jan-15,,,,4103.0,0.0,0.0,,,,10
374,Jan-15,,,,2028.0,19.0,0.0094,,,,22
375,Jan-15,,,,1428.0,1.0,0.0007,,,,8
376,Jan-15,,,,2865.0,1.0,0.0003,,,,10
377,Jan-15,,,,3803.0,0.0,0.0,,,,9
378,Jan-15,,,,12867.0,10.0,0.0008,800.0,3.0,0.0038,22
379,Jan-15,,,,3326.0,0.0,0.0,,,,8
380,Jan-15,,,,4642.0,3.0,0.0006,,,,11
381,Jan-15,,,,3885.0,1.0,0.0003,,,,5
382,Feb-15,,,,3112.0,1.0,0.0003,,,,10
383,Feb-15,,,,256.0,0.0,0.0,76597.0,349.0,0.0046,19
384,Feb-15,,,,1854.0,1.0,0.0005,,,,8
385,Feb-15,,,,6104.0,3.0,0.0005,,,,15
386,Feb-15,,,,18564.0,33.0,0.0018,,,,28
387,Feb-15,,,,3067.0,0.0,0.0,,,,8
388,Feb-15,,,,3917.0,1.0,0.0003,,,,5
389,Feb-15,,,,9975.0,16.0,0.0016,49804.0,244.0,0.0049,24
390,Feb-15,,,,1335.0,3.0,0.0022,,,,15
391,Feb-15,,,,2074.0,6.0,0.0029,,,,14
392,Feb-15,,,,3832.0,0.0,0.0,,,,7
393,Feb-15,,,,1771.0,3.0,0.0017,,,,11
394,Feb-15,,,,2581.0,2.0,0.0008,,,,13
395,Feb-15,,,,7088.0,2.0,0.0003,,,,5
396,Feb-15,,,,1418.0,1.0,0.0007,,,,10
397,Feb-15,,,,2412.0,3.0,0.0012,,,,14
398,Feb-15,,,,2050.0,3.0,0.0015,,,,7
399,Feb-15,,,,2959.0,5.0,0.0017,,,,13
400,Feb-15,,,,1344.0,0.0,0.0,2100.0,7.0,0.0033,14
401,Feb-15,,,,6132.0,5.0,0.0008,,,,14
402,Feb-15,,,,298.0,0.0,0.0,85618.0,495.0,0.0058,23
403,Feb-15,,,,2869.0,2.0,0.0007,,,,14
